080058	???
001FA0	A10 Networks
001043	A2 CORPORATION
002280	A2B Electronics AB
001241	a2i marketing center
F8BE0D	A2UICT Co.,Ltd.
FCE186	A3M Co., LTD
0021FA	A4SP Technologies Ltd.
0006B9	A5TEK Corp.
0024AB	A7 Engineering, Inc.
000EE7	AAC ELECTRONICS CORP.
0030D4	AAE Systems, Inc.
000732	AAEON Technology Inc.
0017D9	AAI Corporation
002672	AAMP of America
009057	AANetcom, Inc.
E4776B	AARTESYS AG
00085D	Aastra
0010BC	Aastra Telecom
00020F	Aatr
702F97	Aava Mobile Oy
003097	AB Regin
C4E92F	AB Sciex
00A2FF	abatec group AG
000C01	Abatron AG
54F876	ABB AG
001B45	ABB AS, Division Automation Products
78AB60	ABB Australia
000023	ABB Automation AB, Dept. Q
002459	ABB Automation products GmbH
00022C	ABB Bomem, Inc.
807A7F	ABB Genway Xiamen Electrical Equipment CO., LTD
5031AD	ABB Global Industries and Services Private Limited
001386	ABB Inc./Totalflow
000D97	ABB Inc./Tropos
60391F	ABB Ltd
9803A0	ABB n.v. Power Quality Products
000C02	ABB Oy
0021C1	ABB Oy / Medium Voltage Products
001C01	ABB Oy Drives
B89BE4	ABB Power Systems Power Generation
00904F	ABB POWER T&D COMPANY, INC.
E002A5	Abb Robotics
4CBCB4	Abb SpA - Din Rail
ACD364	ABB SPA, ABB SACE DIV.
000CDE	ABB STOTZ-KONTAKT GmbH
00032C	ABB Switzerland Ltd
0002A3	ABB Switzerland Ltd, Power Systems
803B2A	ABB Xiamen Low Voltage Equipment Co.,Ltd.
000C62	AbbCewe-               # ABB AB, Cewe-Control
0012E9	Abbey Systems Ltd
C0A26D	Abbott
0013DD	Abbott
5C2ED2	ABC(XiSheng) Electronics Co.,Ltd
001D7C	ABE Elettronica S.p.A.
20635F	Abeeway
000076	ABEKAS VIDEO SYSTEM
00305E	Abelko Innovation
000610	Abeona Networks Inc
001543	Aberdeen Test Center
08B4CF	Abicom International
F436E1	Abilis Systems SARL
20ED74	Ability enterprise co.,Ltd.
A40130	ABIsystems Co., LTD
00508D	ABIT COMPUTER CORPORATION
00C0EF	Abit Corporation
002270	ABK North America, LLC
00501B	ABL CANADA, INC.
00260E	Ablaze Systems, LLC
08001D	ABLE COMMUNICATIONS INC.
844F03	Ablelink Electronics Ltd
00E0F0	ABLER TECHNOLOGY, INC.
000F7E	Ablerex Electronics Co., LTD
60CDA9	Abloomy
00120E	Abocom
ECF00E	Abocom
50A715	Aboundi, Inc.
00C0F8	About Computing Inc.
000D08	AboveCable, Inc.
1407E0	Abrantix AG
1CC586	Absolute Acoustics
24BBC1	Absolute Analysis
000584	AbsoluteValue Systems, Inc.
8C11CB	ABUS Security-Center GmbH & Co. KG
000C89	AC Electric Vehicles, Ltd.
000C61	AC Tech corporation DBA Advanced Digital
0030BA	AC&T SYSTEM CO., LTD.
001A55	ACA-Digital Corporation
7CB25C	Acacia Communications
00A095	ACACIA NETWORKS, INC.
001164	ACARD Technology Corp.
001396	Acbel Polytech Inc.
080003	ACC
000C70	ACC GmbH
0015AD	Accedian Networks
0024FD	Accedian Networks Inc
001F81	Accel Semiconductor Corp
08006B	ACCEL TECHNOLOGIES INC.
00502D	ACCEL, INC.
000434	Accelent Systems, Inc.
002704	Accelerated Concepts, Inc
001026	ACCELERATED NETWORKS, INC.
0006F3	AcceLight Networks
6C2E33	Accelink Technologies Co.,Ltd.
080078	ACCELL CORPORATION
0006BF	Accella Technologies Co., Ltd.
34074F	AccelStor, Inc.
001766	Accense Technology, Inc.
DC1EA3	Accensus LLC
008032	ACCESS CO., LTD.
000807	Access Devices Limited
000313	Access Media SPA
000E20	ACCESS Systems Americas, Inc.
001033	ACCESSLAN COMMUNICATIONS, INC.
0060CE	ACCLAIM COMMUNICATIONS
001F2A	Accm
0019F6	Acconet (PTE) Ltd
0040E9	Accord Systems, Inc.
0090CA	ACCORD VIDEO TELECOMMUNICATIONS, LTD.
BC3E13	Accordance Systems Inc.
000260	Accordion Networks, Inc.
0014A0	Accsense, Inc.
0030F1	Accton Technology Corp
B8616F	Accton Technology Corp
0012CF	Accton Technology Corp
0004E3	Accton Technology Corp
0010B5	Accton Technology Corp
0000E8	Accton Technology Corporation
000E13	Accu-Sort Systems inc.
006095	ACCU-TIME SYSTEMS, INC.
ECC38A	Accuenergy (CANADA) Inc
9C1FDD	Accupix Inc.
000F36	Accurate Techhnologies, Inc.
1C3A4F	AccuSpec Electronics, LLC
000612	Accusys, Inc.
0018ED	Accutech Ultrasystems Co., Ltd.
98E165	Accutome
909F43	Accutron Instruments Inc.
001B58	ACE CAD Enterprise Co., Ltd.
0005B4	Aceex Corporation
0017AD	AceNet Corporation
001847	AceNet Technology Inc.
D4C766	Acentic GmbH
1806FF	Acer Computer(Shanghai) Ltd
0000E2	Acer Counterpoint
C09879	Acer Inc.
000124	Acer Incorporated
006067	Acer Lan
00A060	ACER PERIPHERALS, INC.
7CB542	ACES Technology
00D11C	Acetel
0017B1	ACIST Medical Systems, Inc.
C40E45	ACK Networks,Inc.
00E093	ACKFIN NETWORKS
000990	ACKSYS Communications & systems
001D24	Aclara Power-Line Systems Inc.
00192B	Aclara RF Systems Inc.
6C5779	Aclima, Inc.
000C60	ACM Systems
000825	Acme Packet
00D073	ACN ADVANCED COMMUNICATIONS
000405	ACN Technologies
001952	ACOGITO Co., Ltd
F00DF5	Acoma Medical Industry Co,. Ltd
000371	Acomz Networks Corp.
002630	ACOREL S.A.S
0000A4	Acorn
000875	Acorp Electronics Corp.
0C1A10	Acoustic Stream
00057F	Acqis Technology
0002D5	Acr
006007	ACRES GAMING, INC.
00D06D	ACRISON, INC.
7CC8AB	Acro Associates, Inc.
0014EC	Acro Telecom
00D05B	ACROLOOP MOTION CONTROL
0001C3	Acromag, Inc.
2CA157	acromate, Inc.
04E662	Acroname Inc.
0004FF	Acronet Co., Ltd.
0002B6	Acrosser Technology Co., Ltd.
000447	Acrowave Systems Co., Ltd.
001EE4	ACS Solutions France
00175B	ACS Solutions Switzerland Ltd.
9C65F9	AcSiP Technology Corp.
8CB864	AcSiP Technology Corp.
0026FC	AcSiP Technology Corp.
581243	AcSiP Technology Corp.
5CE2F4	AcSiP Technology Corp.
689C5E	AcSiP Technology Corp.
68B8D9	Act KDE, Inc.
98FD74	ACT.CO.LTD
000327	ACT'L
000BE9	Actel Corporation
000385	Actelis Networks, Inc.
FC09D8	ACTEON Group
000711	Acterna
000F7C	ACTi Corporation
001002	Actia
C4F839	Actia Automotive
38A95F	Actifio Inc
F03D29	Actility
50A054	Actineon
00079F	Action Digital Inc.
0009B9	Action Imaging Solutions
00249B	Action Star Enterprise Co., Ltd.
705EAA	Action Target, Inc.
001B03	Action Technology (SZ) Co., Ltd
A04025	Actioncable, Inc.
D0C0BF	Actions Microelectronics Co., Ltd
F44EFD	Actions Semiconductor Co.,Ltd.(Cayman Islands)
007F28	Actiontec
70F196	Actiontec
E86FF2	Actiontec
002662	Actiontec
70F220	Actiontec
FC2BB2	Actiontec
0026B8	Actiontec
84E892	Actiontec
F8E4FB	Actiontec
00247B	Actiontec
000FB3	Actiontec
408B07	Actiontec
9C1E95	Actiontec
001505	Actiontec
4C8B30	Actiontec
A0A3E2	Actiontec
10785B	Actiontec
001801	Actiontec
A83944	Actiontec
105F06	Actiontec
001EA7	Actiontec
109FA9	Actiontec
001F90	Actiontec
0C6127	Actiontec
181BEB	Actiontec
207600	Actiontec
002015	ACTIS COMPUTER SA
000E5F	activ-net GmbH & Co. KG
001A32	ACTIVA MULTIMEDIA
D05875	Active Control Technology Inc.
006025	Active Imaging Inc.
0030A5	ACTIVE POWER
000591	Active Silicon Ltd
0022C1	Active Storage Inc.
000A2C	Active Tchnology Corporation
0001DC	Activetelco
001203	ActivNetworks
44EA4B	Actlas Inc
8CCDA2	ACTP, Inc.
001196	Actuality Systems, Inc.
5CFAFB	Acubit
009037	ACUCOMM, INC.
006033	ACUITY IMAGING, INC.
565857	Aculab plc
00021F	Aculab PLC
74ECF1	Acumen
F0FDA0	Acurix Networks Pty Ltd
ECB106	Acuro Networks, Inc
00C0C3	Acuson Computed Sonography
00D0F9	ACUTE COMMUNICATIONS CORP.
A0B662	Acutvista Innovation Co., Ltd.
703187	ACX GmbH
0050D5	AD SYSTEMS CORP.
106FEF	Ad-Sol Nissin Corp
001340	AD.EL s.r.l.
002716	Adachi-Syokai Co., Ltd.
9876B6	Adafruit
001D64	Adam Communications Systems Int Ltd
000AEA	ADAM ELEKTRONIK LTD. ŞTI
C0A8F0	Adamson Systems Engineering
186D99	Adanis Inc.
000287	Adapcom
0013DE	Adapt4, LLC
0000D1	Adaptec, Inc.
044F8B	Adapteva, Inc.
000FB9	Adaptive Instruments
000E12	Adaptive Micro Systems Inc.
001A0A	Adaptive Micro-Ware Inc.
001D4D	Adaptive Recognition Hungary, Inc
78028F	Adaptive Spectrum and Signal Alignment (ASSIA), Inc.
008027	ADAPTIVE SYSTEMS, INC.
A44E2D	Adaptive Wireless Solutions, LLC
001261	Adaptix, Inc
F0F5AE	Adaptrum Inc.
00200C	Adastra Systems Corp
707C18	ADATA Technology Co., Ltd
1062C9	Adatis GmbH & Co. KG
000710	Adax, Inc.
A4B2A7	Adaxys Solutions AG
0011C0	Aday Technology Inc
D0D412	ADB Broadband Italia
00A02F	ADB Broadband Italia
0013C8	ADB Broadband Italia
E874E6	ADB Broadband Italia
001CA2	ADB Broadband Italia
000827	ADB Broadband Italia
A4526F	ADB Broadband Italia
D4D184	ADB Broadband Italia
00193E	ADB Broadband Italia
A04FD4	ADB Broadband Italia
DC0B1A	ADB Broadband Italia
0017C2	ADB Broadband Italia
A45DA1	ADB Broadband Italia
F0842F	ADB Broadband Italia
001D8B	ADB Broadband Italia
3039F2	ADB Broadband Italia
74888B	ADB Broadband Italia
008C54	ADB Broadband Italia
002233	ADB Broadband Italia
38229D	ADB Broadband Italia
6487D7	ADB Broadband Italia
00238E	ADB Broadband Italia
842615	ADB Broadband Italia
002553	ADB Broadband Italia
105AF7	ADB Italia
8C59C3	ADB Italia
004016	ADC - Global Connectivity Solutions Division
00004A	ADC CODENOLL TECHNOLOGY CORP.
0080DF	ADC CODENOLL TECHNOLOGY CORP.
EC42B4	Adc Corp
008051	ADC Fibermux
0009E7	ADC Techonology
001734	ADC Telecommunications
00249E	ADC-Elektronik GmbH
0004D2	Adcon Telemetry GmbH
28F532	ADD-Engineering BV
001385	Add-On Technology Co., LTD.
847616	Addat s.r.o.
882BD7	ADDÉNERGIE  TECHNOLOGIES
000F58	Adder Technology Limited
000F6C	ADDI-DATA GmbH
C00D7E	Additech, Inc.
001296	Addlogix
000F85	ADDO-Japan Corporation
44D5A5	AddOn Computer
0050C8	Addonics Technologies, Inc.
0002A4	AddPac Technology Co., Ltd.
404A18	Addrek Smart Solutions
004033	Addtron Technology Co., Ltd.
000B68	Addvalue Communications Pte Ltd
001A9B	ADEC & Parter AG
00D02D	Ademco
A0F9B7	Ademco Smart Homes Tech(Tianjin)Co, Ltd
0007FC	Adept Systems Inc.
0010EA	ADEPT TECHNOLOGY
00026D	Adept Telecom
A0341B	Adero Inc
00219D	Adesys BV
0018B2	ADEUNIS RF
24EC51	Adf Tech Sdn Bhd
1064E2	ADFweb.com s.r.l.
0010A9	ADHOC TECHNOLOGIES
0018E5	Adhoco AG
0008A2	ADI Engineering, Inc.
00307C	ADID SA
0018A5	ADigit Technologies Corp.
000EE6	Adimos Systems LTD
000B55	ADInstruments
00145F	ADITEC CO. LTD
2818FD	Aditya Infotech Ltd.
EC42F0	ADL Embedded Solutions, Inc.
B0C128	Adler ELREHA GmbH
003064	ADLINK TECHNOLOGY, INC.
00E092	ADMTEK INCORPORATED
004018	ADOBE SYSTEMS, INC.
0005EF	ADOIR Digital Technology
80427C	Adolf Tedsen GmbH & Co. KG
0024AD	Adolf Thies Gmbh & Co. KG
F46ABC	Adonit Corp. Ltd.
000E87	adp Gauselmann GmbH
000071	ADRA SYSTEMS INC.
148A70	ADS GmbH
0050C5	ADS Technologies, Inc
001892	ads-tec GmbH
008057	Adsoft Ltd
000229	Adtec Corporation
00901F	ADTEC PRODUCTIONS, INC.
003075	Adtech
00017E	ADTEK System Science Co., Ltd.
002445	Adtran Inc
00014F	Adtran Inc
001992	Adtran Inc
00A0C8	Adtran, Inc.
000630	Adtranz Sweden
00270B	Adura Technologies
C81E8E	ADV Security (S) Pte Ltd
84C807	Adva Optical Networking Ltd
000B90	ADVA Optical Networking Ltd.
00D08B	ADVA Optical Networking Ltd.
305DA6	Advaly System Inc
5C1515	Advan
00C0A0	Advance Micro Research, Inc.
001289	Advance Sterilization Products
3C83B5	Advance Vision Electronics Co. Ltd.
0012B3	Advance Wireless Technology Corp.
EC5B73	Advanced & Wise Tech Corp
E8481F	Advanced Automotive Antennas
00232F	Advanced Card Systems Ltd.
0003D5	Advanced Communications Co., Ltd.
002090	ADVANCED COMPRESSION TECHNOLOGY, INC.
00207D	ADVANCED COMPUTER APPLICATIONS
0060F4	ADVANCED COMPUTER SOLUTIONS, Inc.
002142	Advanced Control Systems doo
001066	ADVANCED CONTROL SYSTEMS, INC.
0012CE	Advanced Cybernetics Group
C477AF	Advanced Digital Broadcast SA
686359	Advanced Digital Broadcast SA
000391	Advanced Digital Broadcast, Ltd.
00088F	ADVANCED DIGITAL TECHNOLOGY
001C8F	Advanced Electronic Design, Inc.
000B47	Advanced Energy
009077	ADVANCED FIBRE COMMUNICATIONS
005074	ADVANCED HI-TECH CORP.
0022FE	Advanced Illumination
0015B2	Advanced Industrial Computer, Inc.
0080B0	ADVANCED INFORMATION
00C051	Advanced Integration Research
001FF9	Advanced Knowledge Associates
00C00D	Advanced Logic Research Inc
B0E97E	Advanced Micro Peripherals
581D91	Advanced Mobile Telecom co.,ltd.
001384	Advanced Motion Controls
2046F9	Advanced Network Devices (dbaAND)
90507B	Advanced PANMOBIL Systems GmbH & Co. KG
00A07A	ADVANCED PERIPHERALS TECHNOLOGIES, INC.
B8DAF7	Advanced Photonics, Inc.
0022F5	Advanced Realtime Tracking GmbH
001C5A	Advanced Relay Corporation
3497FB	ADVANCED RF TECHNOLOGIES INC
000218	Advanced Scientific Corp
001A18	Advanced Simulation Technology inc.
0026EB	Advanced Spectrum Technology Co., Ltd.
009026	ADVANCED SWITCHING COMMUNICATIONS, INC.
000541	Advanced Systems Co., Ltd.
0040DB	ADVANCED TECHNICAL SOLUTIONS
A007B6	Advanced Technical Support, Inc.
00307A	Advanced Technology & Systems
00C0FB	Advanced Technology Labs
00120D	Advanced Telecommunication Technologies, Inc.
000979	Advanced Television Systems Committee, Inc.
CA8FA5	Advanced TS Migrations, Co
0024A7	Advanced Video Communications Inc.
70A41C	Advanced Wireless Dynamics S.L.
E85659	Advanced-Connectek Inc.
00E095	ADVANCED-VISION TECHNOLGIES CORP.
001A86	AdvancedIO Systems Inc
001071	ADVANET INC.
082522	Advansee
00190F	Advansus Corp.
00E03C	Advansys
00D0E9	Advantage Century Telecommunication Corp.
E438F2	Advantage Controls
541FD5	Advantage Electronics
F06130	Advantage Pharmacy Services, LLC
0017DE	Advantage Six Ltd
000E02	Advantech AMT Inc.
74FE48	ADVANTECH CO., LTD.
00D0C9	ADVANTECH CO., LTD.
C400AD	Advantech Tech (China) Co, Ltd
001453	ADVANTECH TECHNOLOGIES CO.,LTD
000BAB	Advantech Technology (CHINA) Co., Ltd.
701AED	ADVAS CO., LTD.
000696	Advent Networks
001EED	Adventiq Ltd.
78A183	Advidia
7CBD06	AE REFUsol
F89173	Aedle Sas
0026E5	AEG Power Solutions
001657	Aegate Ltd
0020BF	AEHR TEST SYSTEMS
000B25	Aeluros
00147D	Aeon Digital International
004019	AEON SYSTEMS, INC.
04E2F8	AEP Ticketing solutions srl
000E30	AERAS Networks, Inc.
001C22	Aeris Elettronica s.r.l.
005067	AEROCOMM, INC.
000930	AeroConcierge Inc.
2C1EEA	Aerodev
005031	AEROFLEX LABORATORIES, INC.
001855	Aeromaritime Systembau GmbH
000BD1	Aeronix, Inc.
002123	Aerosat Avionics
000CCC	Aeroscout Ltd.
001189	Aerotech Inc
000F91	Aerotelecom Co.,Ltd.
001AF9	AeroVIronment (AV Inc)
3CC12C	AES Corporation
2087AC	AES motomation
00A062	AES PRODATA
0011BF	AESYS S.p.A.
000384	Aeta
001597	AETA AUDIO SYSTEMS
002530	Aetas Systems Inc.
688DB6	AETEK INC.
9CFCD1	Aetheris Technology (Shanghai) Co., Ltd.
00D0D6	AETHRA TELECOMUNICAZIONI
94DC4E	Aev, spol. s r. o.
00143D	Aevoe Inc.
000D48	AEWIN Technologies Co., Ltd.
000D94	AFAR Communications,Inc
000D7D	Afco Systems
00405F	AFE COMPUTERS LTD.
581CBD	Affinegy
001B04	Affinity International S.p.a
78223D	Affirmed Networks
002260	AFREEY Inc.
0023FD	AFT Atlas Fahrzeugtechnik GmbH
0017B3	Aftek Infosys Limited
407496	aFUN TECHNOLOGY INC.
6499A0	AG Elektronik AB
0024A9	Ag Leader Technology
00017C	AG-E GmbH
C8D1D1	AGAiT Technology Corporation
001A47	Agami Systems, Inc.
001D0E	Agapha Technology co., Ltd.
0012E3	Agat Soft Llc
00407F	Agema Infrared Systems AB
00022D	Agere Systems
00053D	Agere Systems
080066	AGFA
000BCF	AGFA NDT INC.
000940	AGFEO GmbH & Co. KG
0025B8	Agile Communications, Inc.
0020B6	Agile Networks Inc
000B0C	Agile Systems Inc.
000557	Agile TV Corporation
6843D7	Agilecom Photonics Solutions Guangdong Ltd
8091C0	AgileMesh, Inc.
0030D3	Agilent Technologies, Inc.
000443	Agilent Technologies, Inc.
00805C	Agilis?
74943D	AgJunction
000B91	Aglaia Gesellschaft für Bildverarbeitung und Kommunikation mbH
0C8A87	AgLogica Holdings, Inc
0C5203	Agm Group Ltd
0011BE	AGP Telecom Co. Ltd
0090B3	AGRANAT SYSTEMS
001219	Ahead Communication Systems Inc
D881CE	AHN INC.
001BE2	AhnLab,Inc.
001137	AICHI ELECTRIC CO., LTD.
CCD811	Aiconn Technology Corporation
5C15E1	AIDC TECHNOLOGY (S) PTE LTD
44962B	Aidon Oy
0006DF	AIDONIC Corporation
CCA614	AIFA TECHNOLOGY CORP.
84DB9E	Aifloo AB
000978	AIJI System Co., Ltd.
000CAE	Ailocom Oy
087999	AIM GmbH
0014E6	AIM Infrarotmodule GmbH
00D020	AIM SYSTEM, INC.
000F25	AimValley B.V.
000D2F	AIN Comm.Tech.Co., LTD
6C22AB	Ainsworth Game Technology
0025AB	AIO LCD PC BU / TPV
001DC4	AIOI Systems Co., Ltd.
001A36	Aipermon GmbH & Co. KG
000BAA	Aiphone co.,Ltd
000A9A	Aiptek International Inc
0002A8	Air Link Technology
00075A	Air Products and Chemicals, Inc.
001E77	Air2app
000B0D	Air2U, Inc.
001F35	AIR802 LLC
0014ED	Airak, Inc.
0011F8	AIRAYA Corp
0023B9	Airbus Defence and Space Deutschland GmbH
A0EB76	AirCUVE Inc.
00165D	AirDefense, Inc.
0026FB	AirDio Wireless, Inc.
0CCC26	Airenetworks
001948	AireSpider Networks
0050DF	AirFiber, Inc.
000BC8	AirFlow Networks
001C04	Airgain, Inc.
000AF5	Airgo Networks, Inc.
C4CB6B	Airista Flow, Inc
00143E	AirLink Communications, Inc.
0023D3	AirLink WiFi Networking Corp.
000B24	Airlogic
001F76	AirLogic Systems Inc.
000DC8	AirMagnet, Inc
14EE9D	AirNav Systems LLC
C42628	Airo Wireless
00051D	Airocon, Inc.
0CFC83	Airoha Technology Corp.,
4C60D5	airPointe of New Hampshire
587BE9	AirPro Technology India Pvt. Ltd
00068B	AirRunner Technologies, Inc.
60CBFB	AirScape Inc.
3C7873	Airsonics
E81367	AIRSOUND Inc.
00A00A	Airspan
0001AA	Airspan Communications, Ltd.
000165	AirSwitch Corporation
384B76	AIRTAME ApS
8CB094	Airtech I&C Co., Ltd
00224B	AIRTECH TECHNOLOGIES, INC.
182861	AirTies Wireless Networks
8841FC	AirTies Wireless Networks
001CA8	AirTies Wireless Networks
F417B8	AirTies Wireless Networks
0005B9	Airvana, Inc.
000AE9	AirVast Technology Inc.
001BB4	Airvod Limited
E4C62B	Airware
000DDB	AIRWAVE TECHNOLOGIES INC.
1C14B3	Airwire Technologies
E0C286	Aisai Communication Technology Co., Ltd.
001E43	AISIN AW CO.,LTD.
409558	Aisino Corporation
40987B	Aisino Corporation
006036	AIT Austrian Institute of Technology GmbH
00807A	AITECH SYSTEMS LTD.
30B5F1	Aitexin Technology Co., Ltd
005071	AIWA CO., LTD.
A8016D	Aiwa Corp
001295	Aiware Inc.
001547	AiZen Solutions Inc.
A8995C	aizo ag
000C17	AJA Video Systems Inc
00B0EE	Ajile Systems, Inc.
001A3D	Ajin Vision Co.,Ltd
002393	AJINEXTEK
002683	Ajoho Enterprise Co., Ltd.
08BBCC	AK-NORD EDV VERTRIEBSGES. mbH
00E175	AK-Systems Ltd
0020C7	AKAI Professional M.I. Corp.
001CA1	AKAMAI TECHNOLOGIES, INC.
003076	Akamba Corporation
0003E9	Akara Canada, Inc.
000CF4	AKATSUKI ELECTRIC MFG.CO.,LTD.
000BDC	Akcp
387B47	AKELA, Inc.
D42F23	Akenori PTE Ltd
A895B0	Aker Subsea Ltd
B4827B	AKG Acoustics GmbH
E80B13	Akib Systems Taiwan, INC
0013F5	Akimbi Systems
000B8F	AKITA ELECTRONICS SYSTEMS CO.,LTD.
00092F	Akom Technology Corporation
001488	Akorri
002201	Aksys Networks Inc
000ED9	Aksys, Ltd.
DCDECA	Akyllor
001042	Alacritech, Inc.
002242	Alacron Inc.
0020E1	ALAMAR ELECTRONICS
0000EF	Alantec
00D0A4	ALANTRO COMMUNICATIONS
00D075	ALARIS MEDICAL SYSTEMS, INC.
00B094	Alaris, Inc.
001CFA	Alarm.com
B83A9D	Alarm.com
0012E2	ALAXALA Networks Corporation
